7zip 25.01-1
libnftnl 1.3.0-1
libnghttp2 1.68.0-1
libnghttp3 1.12.0-1
libngtcp2 1.17.0-1
libnice 0.1.22-2
libnl 3.11.0-1
libnm 1.54.1-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnma-gtk4 1.10.6-3
libnotify 0.8.7-1
libnsl 2.0.1-1
libnss_nis 3.4-1
libnumbertext 1.0.11-2
libnvidia-container 1.18.0-1
libnvme 1.16.1-1
libodfgen 0.1.8-5
libogg 1.3.6-1
libomxil-bellagio 0.9.3-5
libopenmpt 0.8.3-1
libopenraw 0.3.7-2
liborcus 0.21.0-2
libosinfo 1.12.0-2
libp11-kit 0.25.10-2
libpagemaker 0.0.4-4
libpaper 2.2.6-1
libpcap 1.10.5-3
libpciaccess 0.18.1-2
libpeas 1.36.0-7
libpgm 5.3.128-3
libpipeline 1.5.8-1
libpipewire 1:1.4.9-1
libplacebo 7.351.0-3
libplasma 6.5.2-1
libplist 2.7.0-1
libpng 1.6.50-1
libportal 0.9.1-2
libportal-gtk4 0.9.1-2
libppd 2.1.1-1
libproxy 0.5.11-1
libpsl 0.21.5-2
libpulse 17.0+r93+gbe2efb69b-1
libqaccessibilityclient-qt6 0.6.0-1
libqalculate 5.8.1-2
libqmi 1.36.0-1
libqrtr-glib 1.2.2-4
libqxp 0.0.2-14
libraqm 0.10.3-1
libraw 0.21.4-1
libraw1394 2.1.2-4
libreoffice-fresh 25.8.3-1
librevenge 0.0.5-3
librime 1:1.14.0-2
librime-data 0.0.0.20250421-1
librist 0.2.11-1
librsvg 2:2.61.3-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libsbsms 2.3.0-5
libseccomp 2.5.6-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libshumate 1.5.1-1
libsigc++ 2.12.1-1
libsigc++-3.0 3.6.0-1
libsixel 1.10.5-1
libslirp 4.9.1-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.20-1
libsoup3 3.6.5-1
libsoxr 0.1.3-4
libspectre 0.2.12-2
libspeechd 0.12.1-2
libspiro 1:20240903-1
libspng 0.7.4-2
libsrtp 1:2.7.0-1
libssh 0.11.3-1
libssh2 1.11.1-1
libstaroffice 0.0.7-4
libstemmer 3.0.1-1
libsysprof-capture 49.0-1
libtar 1.2.20-7
libtasn1 4.20.0-1
libtatsu 1.0.5-1
libteam 1.32-2
libthai 0.1.29-3
libtheora 1.2.0-1
libtiff 4.7.1-1
libtirpc 1.3.7-1
libtommath 1.3.0-1
libtool 2.6.0-1
libtorrent-rasterbar 1:2.0.11-5
libtpms 0.10.1-1
libtraceevent 1:1.8.6-1
libtracefs 1.8.2-2
libunibreak 6.1-1
libuninameslist 20240910-1
libunistring 1.3-1
libunwind 1.8.2-1
libupnp 1.14.25-1
liburcu 0.15.4-1
liburing 2.12-1
libusb 1.0.29-1
libusbmuxd 2.1.1-1
libutempter 1.2.3-1
libutf8proc 2.10.0-2
libuv 1.51.0-1
libva 2.22.0-1
libva-nvidia-driver-git 0.0.12.r11.gf3205bd-1
libva-utils 2.22.0-1
libvdpau 1.5-3
libverto 0.3.2-5
libvirt 1:11.9.0-1
libvirt-glib 5.0.0-3
libvirt-python 1:11.9.0-1
libvisio 0.1.10-2
libvlc 3.0.21-31
libvorbis 1.3.7-4
libvpl 2.15.0-1
libvpx 1.15.2-2
libvterm 0.3.3-2
libwacom 2.17.0-1
libwbclient 2:4.23.3-2
libwebp 1.6.0-2
libwireplumber 0.5.12-1
libwmf 0.2.13-4
libwnck3 43.3-1
libwpd 0.10.3-5
libwpe 1.16.3-1
libwps 0.4.14-3
libx11 1.8.12-1
libx86emu 3.7-2
libxau 1.0.12-1
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.5.2-1
libxcrypt-compat 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxdp 1.5.7-1
libxext 1.3.6-1
libxfce4ui 4.20.2-1
libxfce4util 4.20.1-1
libxfixes 6.0.2-1
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.13.0-1
libxkbcommon-x11 1.13.0-1
libxkbfile 1.1.3-1
libxml2 2.15.1-3
libxmlb 0.3.24-1
libxmu 1.2.1-1
libxnvctrl 580.105.08-1
libxpm 3.5.17-2
libxpresent 1.0.2-1
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxres 1.2.3-1
libxshmfence 1.3.3-1
libxslt 1.1.43-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
libzmf 0.0.2-19
licenses 20240728-1
lilv 0.24.26-1
linux 6.17.8.arch1-1
linux-api-headers 6.17-1
linux-firmware 20251111-1
linux-firmware-amdgpu 20251111-1
linux-firmware-atheros 20251111-1
linux-firmware-broadcom 20251111-1
linux-firmware-cirrus 20251111-1
linux-firmware-intel 20251111-1
linux-firmware-mediatek 20251111-1
linux-firmware-nvidia 20251111-1
linux-firmware-other 20251111-1
linux-firmware-radeon 20251111-1
linux-firmware-realtek 20251111-1
linux-firmware-whence 20251111-1
linux-headers 6.17.8.arch1-1
litehtml 0.9-2
lld 21.1.5-1
llvm 21.1.5-1
llvm-libs 21.1.5-1
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
logrotate 3.22.0-1
loupe 49.1-1
lpsolve 5.5.2.11-3
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.5-2
lsscsi 0.32-2
lua 5.4.8-2
lua51-lpeg 1.1.0-4
lua53 5.3.6-4
luajit 2.1.1763148144-1
luit 20250912-1
lutris 0.5.19-6
lv2 1.18.10-2
lvm2 2.03.36-2
lxc 1:6.0.5-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
makemkv 1.18.2-1
maliit-framework 2.3.0-3
maliit-keyboard 2.3.1-4
man-db 2.13.1-1
man-pages 6.16-1
marblemarcher-git 1.4.5.r16.g523dbdd-1
mariadb 12.0.2-1
mariadb-clients 12.0.2-1
mariadb-libs 12.0.2-1
marisa 0.2.6-19
maven 3.9.11-1
mbedtls 3.6.4-1
mbedtls2 2.28.10-1
md4c 0.5.2-1
mdadm 4.4-2
media-player-info 26-1
megabasterd-bin 8.22-1
meld 3.22.3-1
mesa 1:25.2.7-1
mesa-utils 9.0.0-7
meson 1.9.1-2
messagelib 25.08.3-1
milou 6.5.2-1
mingw-w64-binutils 2.45-1
mingw-w64-crt 13.0.0-1
mingw-w64-gcc 15.2.0-1
mingw-w64-headers 13.0.0-1
mingw-w64-meson 1-26
mingw-w64-pkg-config 2-4
mingw-w64-winpthreads 13.0.0-1
minizip 1:1.3.1-2
mitmproxy 12.2.0-1
mjpegtools 2.2.1-3
mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1
modemmanager-qt 6.19.0-1
mono 6.12.0.206-1
mono-msbuild 16.10.1.xamarinxplat.2021.05.26.14.00-5
moreutils 0.70-1
mousepad 0.6.5-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.3-1
mpv 1:0.40.0-7
mpv-mpris 1.1-4
mpvqt 1.1.1-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtools 1:4.0.49-1
mujs 1.3.8-1
mullvad-vpn-bin 2025.13-1
multipath-tools 0.13.0-1
mypaint-brushes1 1.3.1-2
nano 8.7-1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
nasm 3.01-1
ncompress 5.0-3
ncurses 6.5-4
ndctl 79-1
neon 0.35.0-1
neovim 0.11.5-1
net-snmp 5.9.4-7
net-tools 2.10-3
netavark 1.16.1-1
netctl 1.29-2
netpbm 10.86.48-1
netstandard-targeting-pack 9.0.9.sdk110-1
nettle 3.10.2-1
network-manager-applet 1.36.0-1
networkmanager 1.54.1-1
networkmanager-openconnect 1.2.10-4
networkmanager-openvpn 1.12.3-1
networkmanager-qt 6.19.0-1
networkmanager-vpn-plugin-openconnect 1.2.10-4
networkmanager-vpn-plugin-openvpn 1.12.3-1
nfs-utils 2.8.4-1
nfsidmap 2.8.4-1
nftables 1:1.1.5-1
nilfs-utils 2.2.12-1
ninja 1.13.1-2
nlohmann-json 3.12.0-2
nm-connection-editor 1.36.0-1
nmap 7.98-3
node-gyp 12.1.0-1
nodejs-lts-jod 22.21.1-2
nodejs-nopt 7.2.1-1
noto-fonts 1:2025.11.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2025.11.01-1
npm 11.6.2-1
npth 1.8-1
nspr 4.38.2-1
nss 3.117-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-2
ntp 4.2.8.p18-6
numactl 2.0.19-1
nvidia 580.105.08-3
nvidia-container-toolkit 1.18.0-1
nvidia-settings 580.105.08-1
nvidia-utils 580.105.08-2
nvme-cli 2.16-1
nvtop 3.2.0-1
nwg-displays 0.3.26-1
nwg-look 1.0.6-1
oath-toolkit 2.6.13-1
obs-studio-stable 32.0.2-1
obsidian 1.10.3-1
ocean-sound-theme 6.5.2-1
ocl-icd 2.3.4-1
ocrmypdf 16.12.0-1
okular 25.08.3-1
onetbb 2022.3.0-2
oniguruma 6.9.10-1
openal 1.24.3-2
opencc 1.1.8-2
opencl-headers 2:2025.07.22-1
openconnect 1:9.12-4
opencore-amr 0.1.6-2
opencv 4.12.0-13
openexr 3.4.3-1
openh264 2.6.0-1
openjpeg2 2.5.4-1
openmpi 5.0.9-2
openpmix 5.0.9-1
openssh 10.2p1-2
openssl 3.6.0-1
openucx 1.19.0-3
openvpn 2.6.15-1
openvr 2.12.14-1
openxr 1.1.53-1
optipng 7.9.1-1
opus 1.5.2-1
opusfile 0.12-4
orc 0.4.41-1
os-prober 1.83-1
osinfo-db 20250606-1
ostree 2025.6-1
otf-font-awesome 7.1.0-1
p11-kit 0.25.10-2
pacman 7.0.0.r6.gc685ae6-6
pacman-contrib 1.13.0-1
pacman-mirrorlist 20251021-1
pacutils 0.15.0-1
pahole 1:1.31-1
pam 1.7.1-1
pambase 20250719-1
pamixer 1.6-3
pango 1:1.57.0-2
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parallel 20251022-1
parted 3.6-2
passim 0.1.10-1
passt 2025_09_19.623dbf6-1
patch 2.8-1
patchelf 0.18.0-3
pavucontrol 1:6.2-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.0-3
pdftk 3.3.3-4
perl 5.42.0-1
perl-alien-build 2.84-3
perl-alien-libxml2 0.20-3
perl-bit-vector 7.4-18
perl-cairo-gobject 1.005-5
perl-capture-tiny 0.50-3
perl-carp-clan 6.08-10
perl-class-data-inheritable 0.10-1
perl-clone 0.47-2
perl-config-general 2.67-1
perl-curses 1.45-3
perl-data-uuid 1.227-3
perl-date-calc 6.4-14
perl-dbi 1.647-2
perl-devel-stacktrace 2.05-3
perl-encode-locale 1.05-14
perl-error 0.17030-2
perl-exception-class 1.45-6
perl-exporter-tiny 1.006002-5
perl-extutils-depends 0.8002-2
perl-extutils-pkgconfig 1.16-14
perl-ffi-checklib 0.31-7
perl-file-chdir 0.1011-6
perl-file-listing 6.16-5
perl-file-which 1.27-7
perl-filesys-df 0.92-17
perl-font-ttf 1.06-6
perl-glib-object-introspection 0.052-1
perl-goocanvas2 0.06-7
perl-graphics-tiff 21-3
perl-gtk3 0.038-5
perl-gtk3-imageview 12-1
perl-gtk3-simplelist 0.21-2
perl-html-parser 3.83-2
perl-html-tagset 3.24-3
perl-http-cookiejar 0.014-4
perl-http-cookies 6.11-3
perl-http-daemon 6.16-5
perl-http-date 6.06-4
perl-http-message 7.01-1
perl-http-negotiate 6.01-15
perl-image-sane 5-8
perl-io-html 1.004-7
perl-io-string 1.08-13
perl-io-tty 1.20-3
perl-ipc-run 20250809.0-1
perl-libwww 6.81-1
perl-list-moreutils 0.430-7
perl-list-moreutils-xs 0.430-7
perl-locale-codes 3.85-1
perl-locale-gettext 1.07-16
perl-log-log4perl 1.57-5
perl-lwp-mediatypes 6.04-7
perl-mailtools 2.22-2
perl-mime-charset 1.013.1-5
perl-net-http 6.24-1
perl-path-tiny 0.150-1
perl-pdf-api2 2.048-1
perl-pdf-builder 3.027-1
perl-proc-processtable 0.637-1
perl-readonly 2.05-5
perl-set-intspan 1.19-9
perl-term-animation 2.6-13
perl-test-requires 0.11-8
perl-time-duration 1:1.21-2
perl-timedate 2.33-8
perl-try-tiny 0.32-3
perl-unicode-linebreak 2019.001-9
perl-uri 5.34-1
perl-www-robotrules 6.02-15
perl-xml-libxml 2.0210-4
perl-xml-namespacesupport 1.12-6
perl-xml-parser 2.47-3
perl-xml-sax 1.02-2
perl-xml-sax-base 1.09-6
perl-xml-writer 0.900-5
perl-yaml-tiny 1.76-2
phodav 3.0-4
phonon-qt6 4.12.0-5
phonon-qt6-vlc 0.12.0-5
php 8.4.14-2
pimcommon 25.08.3-1
pinentry 1.3.2-2
pinta 3.0.4-1
pipewire 1:1.4.9-1
pipewire-alsa 1:1.4.9-1
pipewire-audio 1:1.4.9-1
pipewire-jack 1:1.4.9-1
pipewire-pulse 1:1.4.9-1
pixman 0.46.4-1
pkcs11-helper 1.30.0-2
pkgconf 2.5.1-1
pkgfile 25-1
plasma-activities 6.5.2-1
plasma-activities-stats 6.5.2-1
plasma-browser-integration 6.5.2-1
plasma-desktop 6.5.2-1
plasma-disks 6.5.2-1
plasma-firewall 6.5.2-1
plasma-integration 6.5.2-1
plasma-nm 6.5.2-1
plasma-pa 6.5.2-1
plasma-systemmonitor 6.5.2-1
plasma-workspace 6.5.2-2
plasma5support 6.5.2-1
playerctl 2.4.1-4
plocate 1.1.23-1
pngquant 3.0.3-2
pnpm 10.22.0-1
po4a 0.73-1
podman 5.6.2-1
polkit 126-2
polkit-gnome 0.105-12
polkit-kde-agent 6.5.2-1
polkit-qt5 0.200.0-1
polkit-qt6 0.200.0-1
polybar 3.7.2-2
poppler 25.10.0-1
poppler-data 0.4.12-2
poppler-glib 25.10.0-1
poppler-qt6 25.10.0-1
popt 1.19-2
portaudio 1:19.7.0-3
portmidi 1:2.0.7-1
portsmf 234-3
postgresql 18.1-1
postgresql-libs 18.1-1
potrace 1.16-4
power-profiles-daemon 0.30-1
powerdevil 6.5.2-1
ppp 2.5.2-1
pps-tools 1.0.3-2
presage 0.9.1-3
print-manager 1:6.5.2-1
prismlauncher 9.4-1
prison 6.19.0-1
procps-ng 4.0.5-3
protobuf 33.0-2
protobuf-c 1.5.2-7
protonup-qt-bin 2.13.0-1
prrte 3.0.12-1
psmisc 23.7-1
publicsuffix-list 20240306.1440.9094af5-1
pugixml 1.15-2
pulseaudio-qt 1.7.0-2
purpose 6.19.0-1
pv 1.10.1-1
pyenv 1:2.6.12-1
pyprland 2.4.7-0
pyside6 6.10.0-3
python 3.13.7-1
python-aiofiles 24.1.0-2
python-aioquic 1.2.0-2
python-annotated-types 0.7.0-2
python-argcomplete 3.6.2-1
python-argon2-cffi 25.1.0-1
python-argon2-cffi-bindings 25.1.0-1
python-asgiref 3.10.0-1
python-attrs 25.4.0-1
python-autocommand 2.2.2-7
python-bcrypt 5.0.0-1
python-beautifulsoup4 4.14.2-1
python-blinker 1.9.0-1
python-brotli 1.1.0-3
python-build 1.3.0-1
python-cachecontrol 1:0.14.4-1
python-cachetools 6.2.2-1
python-cachy 0.3.0-11
python-cairo 1.29.0-1
python-capng 0.8.5-3
python-cbor2 5.7.1-1
python-certifi 2025.11.12-1
python-cffi 2.0.0-1
python-chardet 5.2.0-6
python-charset-normalizer 3.4.4-1
python-cleo 1:2.1.0-1
python-click 8.2.1-1
python-colorama 0.4.6-5
python-confuse 2.1.0-1
python-coverage 7.11.3-1
python-crashtest 0.4.1-4
python-cryptography 46.0.3-1
python-cssselect 1.3.0-1
python-cssselect2 0.8.0-1
python-dbus 1.4.0-1
python-defusedxml 0.7.1-7
python-deprecated 1.2.18-1
python-deprecation 2.1.0-10
python-discid 1.3.0-1
python-distlib 0.4.0-1
python-distro 1.9.0-3
python-dulwich 0.24.10-1
python-editables 0.5-5
python-evdev 1.9.2-1
python-fastjsonschema 2.21.2-1
python-filelock 3.20.0-1
python-filetype 1.2.0-6
python-findpython 0.7.1-1
python-flask 3.1.2-1
python-fonttools 4.60.1-1
python-gbinder 1.1.2-5
python-gobject 3.54.5-1
python-greenlet 3.2.4-1
python-h11 0.16.0-1
python-h2 4.3.0-1
python-hatch-vcs 0.5.0-1
python-hatchling 1.27.0-1
python-hpack 4.1.0-1
python-html5lib 1.1-15
python-hyperframe 6.1.0-1
python-hypothesis 6.147.0-1
python-i3ipc 2.2.1-8
python-idna 3.11-1
python-importlib_resources 6.5.2-1
python-inflect 7.5.0-1
python-iniconfig 2.1.0-1
python-installer 0.7.0-10
python-itsdangerous 2.2.0-1
python-jaraco.classes 3.4.0-2
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jeepney 0.9.0-1
python-jellyfish 1.2.1-1
python-jinja 1:3.1.6-1
python-jsonschema 4.25.1-1
python-jsonschema-specifications 2025.9.1-1
python-kaitaistruct 0.11-1
python-keyring 25.6.0-1
python-lap 1:0.5.12-2
python-lark-parser 1.3.1-1
python-ldap3 2.9.1-8
python-lockfile 0.12.2-14
python-lxml 6.0.2-1
python-mako 1.3.10-1
python-markdown 3.10.0-1
python-markdown-it-py 4.0.0-1
python-markupsafe 3.0.2-1
python-mdurl 0.1.2-8
python-mediafile 0.13.0-1
python-mitmproxy-rs 0.12.7-1
python-moddb 0.14.0-1
python-more-itertools 10.8.0-1
python-msgpack 1.1.2-1
python-munkres 1.1.4-6
python-musicbrainzngs 0.7.1-8
python-mutagen 1.47.0-3
python-nose 1.3.7-18
python-numpy 2.3.4-1
python-opencv 4.12.0-13
python-ordered-set 4.1.0-7
python-orjson 3.11.4-1
python-packaging 25.0-1
python-passlib 1.7.4-10
python-pathspec 0.12.1-3
python-pbs-installer 2025.10.31-1
python-pdf2image 1.17.0-1
python-pdfminer 20250506-1
python-pefile 2024.8.26-1
python-pexpect 4.9.0-4
python-pikepdf 10.0.2-1
python-pillow 12.0.0-2
python-pip 25.3-1
python-pipx 1.8.0-1
python-pkginfo 1.12.1.2-1
python-platformdirs 4.5.0-1
python-pluggy 1.6.0-1
python-poetry 2.2.1-1
python-poetry-core 2.2.1-1
python-poetry-plugin-export 1.9.0-1
python-protobuf 33.0-2
python-psutil 7.1.3-1
python-ptyprocess 0.7.0-8
python-publicsuffix2 2.20191221-9
python-pyaml 24.12.0-1
python-pyasn1 0.6.1-1
python-pyasn1-modules 0.4.2-1
python-pycdio 2.1.1-7
python-pycparser 2.23-1
python-pycryptodomex 3.23.0-1
python-pycups 2.0.4-3
python-pydantic 2.12.4-1
python-pydantic-core 3:2.41.5-1
python-pydyf 0.11.0-2
python-pygments 2.19.2-1
python-pylsqpack 0.3.18-3
python-pynvim 0.6.0-1
python-pyopenssl 25.3.0-1
python-pyparsing 3.2.5-1
python-pyperclip 1.11.0-1
python-pyphen 0.17.2-1
python-pyproject-hooks 1.2.0-3
python-pyqt5 5.15.11-3
python-pyqt5-sip 12.17.1-1
python-pyquery 2.0.1-1
python-pyrsistent 0.20.0-7
python-pytest 1:8.4.2-1
python-pyxdg 0.28-4
python-pyzstd 0.18.0-1
python-rapidfuzz 3.14.3-1
python-referencing 0.37.0-1
python-reportlab 4.2.2-5
python-requests 2.32.5-1
python-requests-toolbelt 1.0.0-3
python-rich 14.2.0-1
python-rpds-py 0.28.0-1
python-ruamel-yaml 0.18.10-1
python-ruamel.yaml.clib 0.2.14-1
python-secretstorage 3.3.3-6
python-service-identity 24.2.0-2
python-setuptools 1:80.9.0-2
python-setuptools-scm 9.2.2-1
python-shellingham 1.5.4-3
python-shtab 1.7.2-1
python-six 1.17.0-1
python-sortedcontainers 2.4.0-7
python-soupsieve 2.8-1
python-termcolor 3.2.0-1
python-tinycss2 1.4.0-2
python-tinyhtml5 2.0.0-1
python-tomli 2.2.1-1
python-tomlkit 0.13.3-1
python-tornado 6.5.2-1
python-tqdm 4.67.1-2
python-trove-classifiers 2025.9.11.17-1
python-typeguard 4.4.4-1
python-typing-inspection 0.4.2-1
python-typing_extensions 4.15.0-1
python-unidecode 1.4.0-1
python-unoserver 3.4-1
python-urllib3 2.5.0-2
python-urwid 3.0.3-1
python-userpath 1.9.2-3
python-validate-pyproject 0.24.1-1
python-vdf 4.0-2
python-virtualenv 20.35.4-1
python-wcwidth 0.2.14-1
python-weasyprint 66.0-1
python-webencodings 0.5.1-12
python-werkzeug 3.1.3-1
python-wheel 0.45.1-1
python-wrapt 1.17.3-1
python-wsproto 1.2.0-6
python-xlib 0.33-4
python-xxhash 3.6.0-1
python-yaml 6.0.3-1
python-zipp 3.21.0-2
python-zopfli 0.4.0-1
python-zstandard 0.25.0-1
qalculate-gtk 5.8.1-1
qbittorrent 5.1.3-1
qca-qt5 2.3.10-4
qca-qt6 2.3.10-4
qcoro 0.12.0-1
qdirstat 1.9-2
qemu-audio-alsa 10.1.2-2
qemu-audio-dbus 10.1.2-2
qemu-audio-jack 10.1.2-2
qemu-audio-oss 10.1.2-2
qemu-audio-pa 10.1.2-2
qemu-audio-pipewire 10.1.2-2
qemu-audio-sdl 10.1.2-2
qemu-audio-spice 10.1.2-2
qemu-base 10.1.2-2
qemu-block-curl 10.1.2-2
qemu-block-dmg 10.1.2-2
qemu-block-gluster 10.1.2-2
qemu-block-iscsi 10.1.2-2
qemu-block-nfs 10.1.2-2
qemu-block-ssh 10.1.2-2
qemu-chardev-baum 10.1.2-2
qemu-chardev-spice 10.1.2-2
qemu-common 10.1.2-2
qemu-desktop 10.1.2-2
qemu-docs 10.1.2-2
qemu-emulators-full 10.1.2-2
qemu-full 10.1.2-2
qemu-hw-display-qxl 10.1.2-2
qemu-hw-display-virtio-gpu 10.1.2-2
qemu-hw-display-virtio-gpu-gl 10.1.2-2
qemu-hw-display-virtio-gpu-pci 10.1.2-2
qemu-hw-display-virtio-gpu-pci-gl 10.1.2-2
qemu-hw-display-virtio-gpu-pci-rutabaga 10.1.2-2
qemu-hw-display-virtio-gpu-rutabaga 10.1.2-2
qemu-hw-display-virtio-vga 10.1.2-2
qemu-hw-display-virtio-vga-gl 10.1.2-2
qemu-hw-display-virtio-vga-rutabaga 10.1.2-2
qemu-hw-s390x-virtio-gpu-ccw 10.1.2-2
qemu-hw-uefi-vars 10.1.2-2
qemu-hw-usb-host 10.1.2-2
qemu-hw-usb-redirect 10.1.2-2
qemu-hw-usb-smartcard 10.1.2-2
qemu-img 10.1.2-2
qemu-pr-helper 10.1.2-2
qemu-system-aarch64 10.1.2-2
qemu-system-alpha 10.1.2-2
qemu-system-alpha-firmware 10.1.2-2
qemu-system-arm 10.1.2-2
qemu-system-arm-firmware 10.1.2-2
qemu-system-avr 10.1.2-2
qemu-system-hppa 10.1.2-2
qemu-system-hppa-firmware 10.1.2-2
qemu-system-loongarch64 10.1.2-2
qemu-system-m68k 10.1.2-2
qemu-system-microblaze 10.1.2-2
qemu-system-microblaze-firmware 10.1.2-2
qemu-system-mips 10.1.2-2
qemu-system-or1k 10.1.2-2
qemu-system-ppc 10.1.2-2
qemu-system-ppc-firmware 10.1.2-2
qemu-system-riscv 10.1.2-2
qemu-system-riscv-firmware 10.1.2-2
qemu-system-rx 10.1.2-2
qemu-system-s390x 10.1.2-2
qemu-system-s390x-firmware 10.1.2-2
qemu-system-sh4 10.1.2-2
qemu-system-sparc 10.1.2-2
qemu-system-sparc-firmware 10.1.2-2
qemu-system-tricore 10.1.2-2
qemu-system-x86 10.1.2-2
qemu-system-x86-firmware 10.1.2-2
qemu-system-xtensa 10.1.2-2
qemu-tests 10.1.2-2
qemu-tools 10.1.2-2
qemu-ui-curses 10.1.2-2
qemu-ui-dbus 10.1.2-2
qemu-ui-egl-headless 10.1.2-2
qemu-ui-gtk 10.1.2-2
qemu-ui-opengl 10.1.2-2
qemu-ui-sdl 10.1.2-2
qemu-ui-spice-app 10.1.2-2
qemu-ui-spice-core 10.1.2-2
qemu-user 10.1.2-2
qemu-vhost-user-gpu 10.1.2-2
qemu-vmsr-helper 10.1.2-2
qgpgme 2.0.0-2
qpdf 12.2.0-1
qqc2-breeze-style 6.5.2-1
qqc2-desktop-style 6.19.0-1
qrcodegencpp-cmake 1.8.0-4
qrencode 4.1.1-4
qt5-base 5.15.18+kde+r109-2
qt5-declarative 5.15.18+kde+r22-1
qt5-feedback 0.0.0.20150918-5
qt5-graphicaleffects 5.15.18-1
qt5-multimedia 5.15.18+kde+r2-1
qt5-quickcontrols 5.15.18-1
qt5-quickcontrols2 5.15.18+kde+r5-1
qt5-speech 5.15.18+kde+r1-1
qt5-svg 5.15.18+kde+r5-1
qt5-tools 5.15.18+kde+r3-1
qt5-translations 5.15.18-1
qt5-wayland 5.15.18+kde+r55-1
qt5-x11extras 5.15.18-1
qt5ct 1.9-1
qt6-5compat 6.10.0-2
qt6-base 6.10.0-3
qt6-charts 6.10.0-1
qt6-connectivity 6.10.0-1
qt6-declarative 6.10.0-2
qt6-imageformats 6.10.0-1
qt6-location 6.10.0-1
qt6-multimedia 6.10.0-3
qt6-multimedia-ffmpeg 6.10.0-3
qt6-networkauth 6.10.0-1
qt6-positioning 6.10.0-1
qt6-quick3d 6.10.0-1
qt6-quicktimeline 6.10.0-1
qt6-sensors 6.10.0-1
qt6-serialport 6.10.0-1
qt6-shadertools 6.10.0-1
qt6-speech 6.10.0-1
qt6-svg 6.10.0-2
qt6-tools 6.10.0-2
qt6-translations 6.10.0-1
qt6-virtualkeyboard 6.10.0-1
qt6-wayland 6.10.0-1
qt6-webchannel 6.10.0-1
qt6-webengine 6.10.0-3
qt6-websockets 6.10.0-1
qt6ct 0.11-2
qtcreator 18.0.0-2
qtkeychain-qt6 0.15.0-3
quazip-qt6 1.5-1
rapidjson 1.1.0-6
raptor 2.0.16-9
rasqal 1:0.9.33-7
rav1e 0.8.1-2
rclone 1.71.2-1
rdma-core 60.0-2
re2 1:20240702-7
readline 8.3.001-1
realtime-privileges 5-1
rebuild-detector 4.4.5-1
redland 1:1.0.17-9
reflector 2023-3
reflector-simple 2025.10-1
reiserfsprogs 3.6.27-5
rhash 1.4.6-1
rime-bopomofo 0.0.0.20250729-1
rime-cangjie 0.0.0.20240325-1
rime-essay 0.0.0.20250131-1
rime-luna-pinyin 0.0.0.20250123-1
rime-prelude 0.0.0.20250421-1
rime-stroke 0.0.0.20250923-1
rime-terra-pinyin 0.0.0.20251009-1
ripgrep 15.1.0-1
ripgrep-all 0.10.10-1
rnnoise 1:0.2-1
rofi 2.0.0-1
rpcbind 1.2.8-1
rpi-imager 1.9.6-1
rsync 3.4.1-2
rtkit 0.13-3
rtmpdump 1:2.4.r105.6f6bb13-1
rubberband 4.0.0-1
runc 1.3.3-1
rust 1:1.91.1-2
rust-analyzer 20251110-1
rust-src 1:1.91.1-2
rutabaga-ffi 0.1.71-2
s-nail 14.9.25-1
samba 2:4.23.3-2
sane 1.4.0-1
sbc 2.1-1
sbcl 2.5.10-1
scdoc 1.11.4-1
schedtool 1.3.0-8
scrcpy 3.3.3-4
sd 1.0.0-1
sdbus-cpp 2.1.0-2
sddm 0.21.0-6
sddm-kcm 6.5.2-1
sdl12-compat 1.2.68-2
sdl2-compat 2.32.58-1
sdl2_image 2.8.8-1
sdl2_sound 2.0.4-1
