7zip 25.01-1
endeavouros-keyring 20231222-1
endeavouros-mirrorlist 25.7-1
eog 47.0-3
eos-apps-info 25.10-1
eos-bash-shared 25.11.2-1
eos-breeze-sddm 25.02.1.1-1
eos-dracut 1.7-1
eos-hooks 1.16.1-1
eos-log-tool 25.10-1
eos-packagelist 2.3.1-2
eos-qogir-icons 6-1
eos-quickstart 1.4.1-1
eos-rankmirrors 25.11.3-1
eos-reboot-recommended 25.11-1
eos-settings-plasma 1.9-2
eos-translations 25.11-1
eos-update 25.11.2-1
ethtool 1:6.15-1
exempi 2.6.6-2
exfatprogs 1.3.0-1
exiv2 0.28.7-1
exo 4.20.0-2
expac 10-11
expat 2.7.3-1
f2fs-tools 1.16.0-3
faac 1.31.1-1
faad2 2.11.2-1
fakeroot 1.37.1.2-1
fastfetch 2.55.1-1
faudio 25.11-1
fcitx5 5.1.16-1
fcitx5-configtool 5.1.11-1
fcitx5-mozc 2.32.5981.102.g29e2b95-1
fcitx5-pinyin-moegirl 20251109-1
fcitx5-qt 5.1.11-2
fcitx5-rime 5.1.12-1
fd 10.3.0-1
ffmpeg 2:8.0-3
ffmpeg4.4 4.4.6-3
ffmpegthumbnailer 2.2.3-4
ffmpegthumbs 25.08.3-1
ffnvcodec-headers 13.0.19.0-1
fftw 3.3.10-7
file 5.46-5
file-roller 44.6-1
filelight 25.08.3-1
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox-developer-edition 145.0b9-1
firewalld 2.4.0-1
flac 1.5.0-1
flashrom 1.6.0-1
flatpak 1:1.16.1-1
flex 2.6.4-5
fluidsynth 2.5.1-1
fmt 12.1.0-1
fontconfig 2:2.17.1-1
fontforge 20251009-1
foomatic-db 3:20240209-1
foomatic-db-engine 5:20200131-2
foomatic-db-gutenprint-ppds 5.3.5-1
foomatic-db-nonfree 3:20240209-1
foomatic-db-nonfree-ppds 3:20240209-1
foomatic-db-ppds 3:20240209-1
frameworkintegration 6.19.0-1
freeglut 3.8.0-1
freetype2 2.14.1-1
fribidi 1.0.16-2
fsarchiver 0.8.8-1
fuse-common 3.17.4-1
fuse2 2.9.9-5
fuse3 3.17.4-1
fwupd 2.0.17-1
fwupd-efi 1.8-1
fzf 0.66.1-1
gamemode 1.8.2-1
gamescope 3.16.17-1
gawk 5.3.2-1
gc 8.2.10-2
gcc 15.2.1+r301+gf24307422d1d-1
gcc-libs 15.2.1+r301+gf24307422d1d-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdb 16.3-1
gdb-common 16.3-1
gdbm 1.26-1
gdk-pixbuf2 2.44.4-1
gegl 0.4.64-1
geoclue 2.8.0-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.26-1
gflags 2.2.2-5
gfxstream 0.1.2-2
ghostscript 10.06.0-1
ghostty 1.2.3-2
ghostty-shell-integration 1.2.3-2
ghostty-terminfo 1.2.3-2
giflib 5.2.2-2
gimp 3.0.6-2
git 2.51.2-2
github-cli 2.83.1-1
gitkraken 11.5.1-1
gjs 2:1.86.0-1
glab 1.77.0-1
glances 4.4.1-2
glew 2.2.0-7
glib-networking 1:2.80.1-1
glib-perl 1.329.4-3
glib2 2.86.1-1
glib2-devel 2.86.1-1
glib2-docs 2.86.1-1
glibc 2.42+r33+gde1fe81f4714-1
glibmm 2.66.8-1
glibmm-2.68 2.86.0-1
glm 1.0.2-1
glslang 1:1.4.328.1-1
glu 9.0.3-2
glusterfs 1:11.1-5
glycin 2.0.7-1
gmp 6.3.0-2
gnome-desktop 1:44.4-1
gnome-desktop-common 1:44.4-1
gnome-keyring 1:48.0-1
gnome-system-monitor 49.1-1
gnu-netcat 0.7.1-12
gnulib-l10n 20241231-1
gnupg 2.4.8-3
gnutls 3.8.10-1
go 2:1.25.4-1
gobject-introspection 1.86.0-1
gobject-introspection-runtime 1.86.0-1
goocanvas 3.0.0-9
google-glog 0.7.1-1
gparted 1.7.0-1
gperf 3.3-1
gperftools 2.17.2-1
gpgme 2.0.1-1
gpgmepp 2.0.0-2
